flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h25,h99,238,238,9
h27,h124,451,451,9
h28,h17,1326,1326,9
h29,h124,1223,1223,9
h29,h82,510,510,9
h3,h71,775,775,9
h30,h128,922,922,9
h31,h92,323,323,9
h32,h118,213,213,9
h32,h42,150,150,9
h4,h60,1374,1374,9
h5,h57,507,507,9
h6,h43,1484,1484,9
h9,h17,271,271,9
h9,h34,738,738,9
h9,h91,496,496,9
h10,h12,808,808,8
h11,h117,456,456,8
h13,h56,410,410,8
h13,h85,1308,1308,8
h14,h107,472,472,8
h14,h134,1276,1276,8
h15,h20,254,254,8
h17,h141,1423,1423,8
h18,h105,673,673,8
h18,h46,1162,1162,8
h2,h139,37,37,8
h2,h33,1482,1482,8
h2,h81,1043,1043,8
h21,h35,1232,1232,8
h23,h98,663,663,8
h24,h80,532,532,8
h25,h31,387,387,8
h26,h144,1356,1356,8
h27,h28,1067,1067,8
h28,h20,812,812,8
h29,h120,1511,1511,8
h3,h88,755,755,8
h30,h2,1219,1219,8
h31,h119,754,754,8
h31,h130,302,302,8
h31,h26,630,630,8
h31,h58,113,113,8
h32,h106,818,818,8
h32,h39,1459,1459,8
h32,h69,941,941,8
h4,h22,642,642,8
h5,h20,800,800,8
h5,h25,1278,1278,8
h5,h99,265,265,8
h6,h10,1053,1053,8
h6,h15,1051,1051,8
h6,h55,414,414,8
h7,h104,999,999,8
h7,h123,1038,1038,8
h7,h65,431,431,8
h8,h29,127,127,8
h9,h16,781,781,8
h9,h3,149,149,8
h9,h54,156,156,8
h1,h140,48,48,7
h1,h95,1064,1064,7
h10,h141,744,744,7
h10,h57,910,910,7
h11,h119,256,256,7
h11,h15,311,311,7
h11,h30,360,360,7
h12,h131,997,997,7
h12,h56,1408,1408,7
h12,h80,321,321,7
h13,h111,481,481,7
h13,h131,588,588,7
h13,h49,967,967,7
h13,h69,860,860,7
h14,h84,777,777,7
h16,h95,269,269,7
h17,h83,1226,1226,7
h18,h108,846,846,7
h19,h15,335,335,7
h2,h121,730,730,7
h2,h131,80,80,7
h2,h46,124,124,7
h20,h106,493,493,7
h20,h57,185,185,7
h21,h3,643,643,7
h21,h3,919,919,7
h21,h73,445,445,7
h22,h24,729,729,7
h22,h40,470,470,7
h23,h131,631,631,7
h24,h115,1329,1329,7
h25,h108,551,551,7
h25,h24,814,814,7
h25,h32,885,885,7
h25,h9,1270,1270,7
h28,h113,1040,1040,7
h28,h32,434,434,7
h29,h20,461,461,7
h3,h64,300,300,7
h3,h69,107,107,7
h30,h129,864,864,7
h30,h24,905,905,7
h30,h40,1193,1193,7
h31,h63,396,396,7
h32,h126,530,530,7
h32,h19,1048,1048,7
h32,h63,380,380,7
h4,h1,345,345,7
h4,h135,1092,1092,7
h4,h15,526,526,7
h4,h78,120,120,7
h5,h108,289,289,7
h6,h13,1259,1259,7
h6,h130,1380,1380,7
h7,h15,457,457,7
h8,h43,444,444,7
h8,h61,1385,1385,7
h9,h25,390,390,7
h9,h48,480,480,7
h9,h67,352,352,7
h10,h32,1070,1070,6
h10,h83,1023,1023,6
h11,h1,1450,1450,6
h11,h117,985,985,6
h11,h24,651,651,6
h11,h49,772,772,6
h11,h65,577,577,6
h12,h77,600,600,6
h13,h53,301,301,6
h15,h88,855,855,6
h16,h114,1221,1221,6
h16,h4,511,511,6
h17,h6,740,740,6
h19,h28,462,462,6
h2,h71,884,884,6
h21,h86,1177,1177,6
h22,h131,299,299,6
h23,h68,375,375,6
h24,h132,420,420,6
h26,h70,1262,1262,6
h26,h90,1114,1114,6
h27,h51,908,908,6
h3,h139,1065,1065,6
h3,h66,82,82,6
h30,h103,268,268,6
h32,h141,342,342,6
h4,h142,442,442,6
h4,h40,756,756,6
h4,h7,713,713,6
h6,h142,402,402,6
h6,h144,612,612,6
h6,h18,30,30,6
h6,h53,725,725,6
h6,h77,892,892,6
h8,h121,2,2,6
h9,h102,1325,1325,6
h9,h120,329,329,6
h1,h65,1344,1344,5
h10,h43,619,619,5
h11,h115,1011,1011,5
h11,h26,913,913,5
h11,h52,326,326,5
h12,h111,1113,1113,5
h12,h50,1337,1337,5
h14,h14,684,684,5
h15,h68,45,45,5
h16,h134,1461,1461,5
h16,h42,1335,1335,5
h2,h90,1034,1034,5
h20,h57,1021,1021,5
h21,h100,811,811,5
h22,h129,1377,1377,5
h22,h13,649,649,5
h23,h19,1136,1136,5
h23,h54,318,318,5
h24,h2,560,560,5
h24,h38,292,292,5
h27,h70,291,291,5
h28,h131,1488,1488,5
