src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
32,5,1455,1455,29,19057,144,208,-64,44.44,OBM
117,18,319,319,18,3560,59,85,-26,44.07,OBM
127,14,698,698,50,8787,189,272,-83,43.92,OBM
103,16,688,688,26,8653,128,184,-56,43.75,OBM
88,18,929,929,45,12202,190,273,-83,43.68,OBM
49,26,697,697,13,8781,46,66,-20,43.48,OBM
64,20,382,382,14,4333,88,126,-38,43.18,OBM
20,27,700,700,6,8793,21,30,-9,42.86,OBM
110,4,592,592,9,7554,66,94,-28,42.42,OBM
116,3,901,901,8,11815,51,72,-21,41.18,OBM
76,27,1504,1504,6,19699,51,72,-21,41.18,OBM
43,8,900,900,24,11771,139,196,-57,41.01,OBM
124,31,749,749,6,9614,83,117,-34,40.96,OBM
123,7,849,849,40,11098,225,317,-92,40.89,OBM
37,22,180,180,19,2020,81,114,-33,40.74,OBM
126,18,1122,1122,15,14646,79,111,-32,40.51,OBM
70,20,1464,1464,6,19128,40,56,-16,40.0,OBM
1,21,618,618,7,7774,35,49,-14,40.0,OBM
89,19,652,652,6,8189,70,98,-28,40.0,OBM
111,16,595,595,6,7581,35,49,-14,40.0,OBM
14,14,635,635,41,7987,113,158,-45,39.82,OBM
105,30,665,665,6,8372,43,60,-17,39.53,OBM
92,12,840,840,6,10923,43,60,-17,39.53,OBM
85,17,841,841,46,10939,157,219,-62,39.49,OBM
64,9,295,295,8,3255,61,85,-24,39.34,OBM
23,4,628,628,40,7940,305,425,-120,39.34,OBM
137,29,657,657,38,8261,214,298,-84,39.25,OBM
26,27,1007,1007,6,13181,23,32,-9,39.13,OBM
12,14,1415,1415,16,18477,31,43,-12,38.71,OBM
50,32,1243,1243,55,16171,420,581,-161,38.33,OBM
80,2,1039,1039,15,13557,115,159,-44,38.26,OBM
29,9,109,109,25,1389,69,95,-26,37.68,OBM
114,24,587,587,13,7470,72,99,-27,37.5,OBM
26,3,599,599,6,7632,40,55,-15,37.5,OBM
67,23,794,794,12,10319,56,77,-21,37.5,OBM
49,17,1191,1191,18,15707,72,99,-27,37.5,OBM
19,16,377,377,15,4280,59,81,-22,37.29,OBM
18,3,813,813,6,10580,43,59,-16,37.21,OBM
75,17,1204,1204,15,15807,54,74,-20,37.04,OBM
32,21,65,65,6,770,19,26,-7,36.84,OBM
124,23,1095,1095,90,14332,284,388,-104,36.62,OBM
119,12,1227,1227,92,15998,2464,3366,-902,36.61,OBM
17,15,283,283,41,3144,143,195,-52,36.36,OBM
14,14,684,684,33,8581,95,129,-34,35.79,OBM
118,12,416,416,59,4968,303,411,-108,35.64,OBM
