src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
127,22,1348,1348,12,17482,56,61,-5,8.93,OBM
124,31,749,749,6,9614,83,117,-34,40.96,OBM
107,21,43,43,6,506,28,29,-1,3.57,OBM
108,24,1098,1098,14,14346,96,106,-10,10.42,OBM
124,8,332,332,19,3696,95,103,-8,8.42,OBM
38,5,1447,1447,37,18912,224,228,-4,1.79,OBM
47,16,386,386,22,4452,78,95,-17,21.79,OBM
34,26,907,907,33,11862,87,116,-29,33.33,OBM
133,4,1288,1288,36,16637,132,1607,-1475,1117.42,OBM
99,13,857,857,16,11181,1064,1089,-25,2.35,OBM
75,1,685,685,66,8589,4407,198,4209,2125.76,ABM
57,8,1101,1101,26,14419,1181,212,969,457.08,ABM
66,31,312,312,6,3487,49,49,0,0.0,tie
95,5,64,64,50,747,110,105,5,4.76,ABM
136,3,783,783,51,10131,256,422,-166,64.84,OBM
115,29,1395,1395,6,18136,39,63,-24,61.54,OBM
58,26,1250,1250,41,16218,168,296,-128,76.19,OBM
2,24,560,560,47,7025,318,304,14,4.61,ABM
93,1,1478,1478,17,19336,1139,139,1000,719.42,ABM
123,7,1038,1038,16,13542,91,146,-55,60.44,OBM
115,24,1329,1329,34,17280,72,175,-103,143.06,OBM
70,20,1464,1464,6,19128,40,56,-16,40.0,OBM
73,12,1502,1502,28,19693,2230,175,2055,1174.29,ABM
1,21,618,618,7,7774,35,49,-14,40.0,OBM
72,4,1505,1505,44,19710,1471,1663,-192,13.05,OBM
101,12,11,11,16,163,38,38,0,0.0,tie
141,18,251,251,17,2910,93,98,-5,5.38,OBM
33,32,550,550,17,6904,203,215,-12,5.91,OBM
8,16,609,609,47,7707,120,188,-68,56.67,OBM
102,31,273,273,6,3025,53,51,2,3.92,ABM
64,9,295,295,8,3255,61,85,-24,39.34,OBM
123,16,1358,1358,23,17584,156,176,-20,12.82,OBM
113,15,446,446,18,5424,90,104,-14,15.56,OBM
88,30,240,240,11,2734,37,43,-6,16.22,OBM
